"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"70","Joe Burrow","QB","CIN",314,19.1,1.75,293,343,22,30.6,25.8,70,67,59,7,"3",58.3,13,9
"71","Dak Prescott","QB","DAL",312,15.8,3.8,290,331,20.3,27.8,13.7,73,72,72,8,"3",66.3,12.4,6
"72","Zay Flowers","WR","BAL",227,9.06,0.000318,218,240,20.3,34,4.38,71,61,92,25,"6",66.4,11.3,4
"73","George Pickens","WR","PIT",227,16.4,0.689,208,253,20.3,23.7,16.9,72,78,70,26,"6",61.9,11.3,36
"74","Malik Nabers","WR","NYG",226,13.7,1.33,209,249,19.7,25.1,13.5,74,76,74,27,"6",53.4,22,23
"75","Austin Ekeler","RB","WAS",178,18.3,1.41,159,212,19.1,28.2,10.9,75,71,77,30,"7",95.2,8.64,42
"76","Tee Higgins","WR","CIN",225,12.3,3.64,214,244,18.3,30.1,8.33,76,69,84,28,"6",63.2,13.7,7
"77","Brian Robinson","RB","WAS",177,19.9,0.456,145,201,17.7,13.5,0,77,86,103,31,"7",87.4,7.83,34
"78","Tyjae Spears","RB","TEN",176,17.8,2.53,155,207,17.3,24.1,5.22,78,77,89,32,"8",101,5.04,20
"79","Kyler Murray","QB","ARI",308,19.7,0.616,275,328,16.5,12.8,10.6,79,87,79,9,"4",70.2,12.6,11
"80","Jordan Love","QB","GB",308,27.4,9.83,274,346,15.9,12.2,28.7,80,88,54,10,"4",69.8,10.6,57
"81","Brandon Aubrey","K","DAL",163,13.2,1.43,143,185,15.1,5.58,25.7,81,95,60,1,"1",110,3.7,39
"82","Zack Moss","RB","CIN",174,23.1,14.6,146,206,14.7,14.8,4.53,82,84,91,33,"8",94.6,7.78,56
"83","Chris Godwin","WR","TB",221,13.1,0.583,209,245,14.7,25.2,9.17,83,75,81,29,"6",89.4,10.5,19
"84","Dallas Goedert","TE","PHI",163,13.8,7.83,145,182,14.3,30.2,0,84,68,103,11,"5",116,4.18,12
"85","Christian Kirk","WR","JAC",220,16.3,2.73,202,249,14.1,18.4,13.3,85,81,75,30,"6",80.3,9.23,37
"86","Justin Tucker","K","BAL",161,4.86,5.16,154,169,13.6,16.2,9.86,86,83,80,2,"1",107,4.16,1
"87","Keenan Allen","WR","CHI",218,27.5,1.47,182,248,11.4,-2.05,12.4,87,109,76,31,"7",81.8,10.9,83
"88","Nathaniel Dell","WR","HOU",216,17.7,0.6,190,245,9.9,6.41,8.55,88,94,83,32,"7",65.2,11.2,51
