"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"110","Dalton Schultz","TE","HOU",8.32,0.841,0.208,7.35,9.47,0.319,0.669,0.298,110,83,109,11,"6",NA,NA,26
"111","Kirk Cousins","QB","ATL",17.2,1.99,0.261,14.8,19.5,0.302,0,0.833,111,130,88,11,"4",NA,NA,74
"112","Jameson Williams","WR","DET",11,1.48,0.14,8.72,12.3,0.273,-0.517,0.0427,112,180,126,34,"7",NA,NA,66
"113","Lavonte David","LB","TB",7.22,1.8,0.0666,5.99,9.31,0.24,0.341,-0.0313,113,102,132,6,"1",NA,NA,41
"114","Leonard Williams","DL","SEA",3.42,1.31,0.124,2.52,4.32,0.232,-0.28,0.175,114,154,116,6,"3",NA,NA,94
"115","Harrison Butker","K","KC",8.88,0.776,0.158,7.53,9.59,0.181,0.0424,0.024,115,126,128,6,"2",NA,NA,14
"116","Logan Wilson","LB","CIN",7.16,1.87,0.029,5.94,9.34,0.174,0.293,0,116,107,130,7,"1",NA,NA,45
"117","Terrel Bernard","LB","BUF",7.13,1.93,0.136,6.1,9.4,0.145,0.458,0.0539,117,93,125,8,"1",NA,NA,53
"118","Christian Kirk","WR","JAC",10.9,1.08,0.133,9.04,12.2,0.133,-0.192,0,118,142,130,35,"7",NA,NA,34
"119","Zach Ertz","TE","WAS",8.12,1.2,0.111,6.68,10.1,0.111,0,0.962,119,130,82,12,"6",NA,NA,65
"120","Kobie Turner","DL","LAR",3.29,1.13,0.0907,2.52,4.08,0.108,-0.283,-0.0718,120,155,135,7,"3",NA,NA,83
"121","Ravens","DST","BAL",5.52,0.744,0.0578,4.88,6.64,0.0578,0.0693,-0.0484,121,124,133,2,"1",NA,NA,69
"122","Brian Branch","DB","DET",6.22,0.475,0.00379,5.8,6.69,0.056,0.37,-0.783,122,101,220,7,"1",NA,NA,3
"123","Budda Baker","DB","ARI",6.21,1.69,0.039,5.02,8.19,0.0522,-0.401,0.709,123,166,92,8,"1",NA,NA,97
"124","Patrick Mahomes","QB","KC",16.9,1.42,0.0415,14.8,18.4,0.0415,-0.0357,-0.331,124,131,158,12,"4",NA,NA,50
"125","Chris Boswell","K","PIT",8.73,1.12,0.0235,7.38,10.1,0.0235,-0.112,0.567,125,138,96,7,"2",NA,NA,62
"126","T.J. Watt","DL","PIT",3.2,0.495,0.00318,2.91,3.59,0.0174,0.102,-0.565,126,120,190,8,"3",NA,NA,25
"127","Bradley Chubb","DL","MIA",3.2,NA,0.0142,NA,NA,0.0142,NA,NA,127,NA,NA,9,"3",NA,NA,NA
"128","Derwin James","DB","LAC",6.18,1.5,0.0132,5.03,7.89,0.0132,-0.396,0.416,128,164,102,9,"1",NA,NA,86
"129","Ernest Jones","LB","TEN",6.99,2.91,0.00832,4.57,10.3,0.00832,-1.07,0.916,129,280,84,9,"1",NA,NA,96
"130","Geno Smith","QB","SEA",16.9,1.12,0.0767,15.5,18.2,0,0.671,-0.475,130,82,176,13,"5",NA,NA,35
"131","Raheem Mostert","RB","MIA",8.14,1.87,0.142,4.93,10.4,0,-1.51,0.126,130,359,118,35,"9",NA,NA,89
"132","Jerry Jeudy","WR","CLE",10.8,1.33,0.0315,8.29,12.2,0,-0.945,-0.00474,130,249,131,36,"7",NA,NA,51
"133","Cade Otton","TE","TB",8.01,0.636,0.0204,6.8,8.57,0,0.117,-0.602,130,119,197,13,"6",NA,NA,12
"134","Evan McPherson","K","CIN",8.7,0.827,0.171,7.49,9.56,0,0,0,130,130,130,8,"2",NA,NA,24
"135","Lions","DST","DET",5.46,0.635,0.047,4.48,6.26,0,-0.328,-0.435,130,158,173,3,"2",NA,NA,55
"136","Jeffery Simmons","DL","TEN",3.19,1.69,0.0137,2.03,4.36,0,-0.773,0.207,130,222,113,10,"3",NA,NA,99
"137","Quay Walker","LB","GB",6.98,2.09,0.218,5.79,9.44,0,0.142,0.0973,130,118,121,10,"1",NA,NA,65
