"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"236","Allen Robinson","WR","LAR",7.63,0.541,0.0692,7.02,8.28,-4.08,-2.3,-5.17,231,189,242,63,"11",NA,NA,9
"237","Tevin Coleman","RB","SF",4.27,0.949,0.221,3.34,5.69,-4.12,-2.37,-5.33,232,195,243,55,"14",NA,NA,42
"238","Jamal Agnew","WR","JAC",7.56,1.72,0.132,6.26,10.3,-4.15,-3.06,-3.18,233,216,195,64,"12",NA,NA,70
"239","Ben Skowronek","WR","LAR",7.42,1.32,0.0466,5.44,8.69,-4.28,-3.88,-4.76,234,231,234,65,"12",NA,NA,51
"240","Olamide Zaccheaus","WR","ATL",7.38,1.71,0.231,5.46,10.1,-4.32,-3.86,-3.36,235,230,197,66,"12",NA,NA,69
"241","Malcolm Brown","RB","LAR",4.05,2.17,0.13,1.56,6.29,-4.34,-4.14,-4.73,236,238,233,56,"15",NA,NA,90
"242","Cade Otton","TE","TB",3.35,1.14,0.116,1.84,4.55,-4.35,-4.49,-4.93,237,258,239,37,"13",NA,NA,69
"243","C.J. Uzomah","TE","NYJ",3.23,0.688,0.00184,2.42,3.92,-4.46,-3.91,-5.57,238,233,250,38,"13",NA,NA,38
"244","Durham Smythe","TE","MIA",3.23,0.803,0.151,2.11,4.07,-4.46,-4.21,-5.41,239,241,246,39,"13",NA,NA,49
"245","Latavius Murray","RB","DEN",3.92,2.07,0.117,1.76,7.07,-4.47,-3.94,-3.95,240,234,216,57,"15",NA,NA,88
"246","Mecole Hardman","WR","KC",7.15,1.23,0.00934,6.21,9.42,-4.55,-3.11,-4.03,241,219,218,67,"12",NA,NA,48
"247","K.J. Osborn","WR","MIN",7.14,0.713,0.248,6.53,8.3,-4.56,-2.8,-5.15,242,209,240,68,"12",NA,NA,16
"248","Kevin Harris","RB","FA",3.8,0.537,0.00556,3.39,4.12,-4.59,-2.32,-6.9,243,192,284,58,"15",NA,NA,20
"249","Kenyan Drake","RB","BAL",3.79,0.895,0.0289,2.58,5.03,-4.6,-3.13,-5.99,244,220,258,59,"15",NA,NA,39
"250","Isaiah Likely","TE","BAL",3.08,1.02,0.00254,1.68,4.56,-4.62,-4.64,-4.92,245,270,238,40,"13",NA,NA,64
"251","Jelani Woods","TE","IND",3.08,1.51,0.0343,1.73,5.35,-4.62,-4.6,-4.14,246,266,219,41,"13",NA,NA,82
"252","Justice Hill","RB","BAL",3.77,0.428,0.194,3.32,4.18,-4.63,-2.38,-6.84,247,196,282,60,"15",NA,NA,16
"253","Cole Turner","TE","WAS",3.04,0.964,0.0574,2.19,4.1,-4.65,-4.14,-5.39,248,237,245,42,"13",NA,NA,61
"254","Colby Parkinson","TE","SEA",2.98,1.73,0.0718,1.17,5.52,-4.71,-5.15,-3.97,249,307,217,43,"13",NA,NA,87
"255","Ian Thomas","TE","CAR",2.91,0.804,0.0623,1.85,4.01,-4.78,-4.48,-5.48,250,257,249,44,"13",NA,NA,51
"256","Phillip Walker","QB","CAR",11.7,1.76,1.42,8.71,13.6,-4.81,-6.2,-5.83,251,344,255,27,"11",NA,NA,73
"257","Richie James","WR","NYG",6.89,2.02,0.206,4.46,9.5,-4.81,-4.86,-3.95,252,284,215,69,"12",NA,NA,78
"258","Zack Moss","RB","BUF",3.57,1.5,0.02,1.35,5.32,-4.82,-4.36,-5.7,253,249,253,61,"15",NA,NA,68
