"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"173","Shy Tuttle","DL","CAR",2.74,1.15,0.0536,2.01,4.1,-0.351,-0.596,-0.0345,165,194,134,22,"5",NA,NA,72
"174","Jordyn Brooks","LB","MIA",6.4,2.31,0.00689,4.64,9.06,-0.359,-0.461,-0.164,166,181,147,14,"1",NA,NA,70
"175","Blake Grupe","K","NO",8.26,0.622,0.0454,7.34,8.88,-0.36,-0.182,-0.861,167,157,215,15,"2",NA,NA,20
"176","Kaden Elliss","LB","ATL",6.4,1.7,0.0424,5.29,8.39,-0.366,0.187,-0.843,168,115,212,15,"1",NA,NA,30
"177","DeShon Elliott","DB","PIT",5.91,0.976,0.0996,5.2,7.03,-0.402,-0.411,-0.724,169,178,195,18,"2",NA,NA,34
"178","YaYa Diaby","DL","TB",2.69,0.141,0.00318,2.6,2.8,-0.405,-0.00427,-1.33,170,132,269,23,"5",NA,NA,3
"179","Younghoe Koo","K","ATL",8.22,0.513,0.0204,7.33,8.61,-0.406,-0.197,-1.13,171,161,251,16,"2",NA,NA,12
"180","Harold Landry","DL","TEN",2.68,0.354,0.0324,2.41,2.9,-0.408,-0.195,-1.23,172,160,256,24,"5",NA,NA,16
"181","Nakobe Dean","LB","PHI",6.36,2.05,0.0417,4.93,8.74,-0.409,-0.177,-0.485,173,155,168,16,"1",NA,NA,50
"182","Calvin Austin III","WR","PIT",9.9,1.58,0.0198,8.25,12.3,-0.411,-0.356,0.241,174,169,114,38,"9",NA,NA,80
"183","Chargers","DST","LAC",5.14,0.485,0.0295,4.29,5.59,-0.42,-0.512,-1.45,175,187,277,7,"5",NA,NA,32
"184","Daniel Carlson","K","LVR",8.2,0.564,0.0787,7.56,8.85,-0.426,0.0404,-0.895,176,125,216,17,"2",NA,NA,16
"185","Quentin Johnston","WR","LAC",9.88,1.05,0.0172,8.74,11.6,-0.431,0.141,-0.431,177,120,165,39,"9",NA,NA,37
"186","Jalen Carter","DL","PHI",2.65,1.64,0.00937,1.53,3.79,-0.44,-1.08,-0.342,178,279,157,25,"5",NA,NA,97
"187","Christian Watson","WR","GB",9.86,0.956,0.108,8.52,11,-0.448,-0.086,-1.03,179,143,234,40,"9",NA,NA,26
"188","Osa Odighizuwa","DL","DAL",2.64,1.23,0.0417,1.81,4.07,-0.449,-0.791,-0.0569,180,227,138,26,"5",NA,NA,84
"189","Eagles","DST","PHI",5.11,0.786,0.0648,4.11,6.24,-0.45,-0.699,-0.792,181,216,205,8,"6",NA,NA,60
"190","Jack Campbell","LB","DET",6.31,2.59,0.193,4.16,9.23,-0.45,-0.942,0,182,254,130,17,"1",NA,NA,85
"191","Travon Walker","DL","JAC",2.6,0,0.0077,2.6,2.6,-0.491,-0.00598,-1.53,183,133,284,27,"5",NA,NA,1
"192","Braden Fiske","DL","LAR",2.59,1.41,0.0189,1.63,3.57,-0.499,-0.98,-0.557,184,260,177,28,"5",NA,NA,93
"193","Geno Smith","QB","SEA",15.7,1.29,0.00411,14.1,17.6,-0.501,-0.044,-0.579,185,135,181,15,"5",NA,NA,59
"194","Jack Jones","DB","LVR",5.81,0.438,0.0047,5.4,6.19,-0.502,-0.215,-1.56,186,162,288,19,"2",NA,NA,5
"195","Will Levis","QB","TEN",15.7,1.41,0.311,14.3,18.2,-0.505,0.142,0,188,119,130,16,"6",NA,NA,65
"196","Anders Carlson","K","NYJ",8.12,1.2,0.0161,6.31,9.09,-0.505,-1.21,-0.656,187,304,187,18,"2",NA,NA,84
"197","Kamren Curl","DB","LAR",5.81,1.72,0.0117,4.63,7,-0.506,-0.98,-0.753,189,258,197,20,"2",NA,NA,95
"198","Falcons","DST","ATL",5.05,0.874,0.0179,3.68,5.95,-0.515,-1.12,-1.08,190,290,242,9,"6",NA,NA,80
"199","Myles Garrett","DL","CLE",2.57,0.677,0.00851,1.92,3.12,-0.518,-0.682,-1.01,191,211,232,29,"5",NA,NA,43
"200","Taylor Rapp","DB","BUF",5.79,1.45,0.0105,4.63,7.45,-0.518,-0.98,-0.302,192,259,154,21,"2",NA,NA,76
"201","Cairo Santos","K","CHI",8.1,0.767,0.00829,7.46,8.98,-0.521,-0.0615,-0.761,193,138,199,19,"2",NA,NA,24
"202","Al-Quadin Muhammad","DL","DET",2.56,1.89,0.078,0.675,4.48,-0.526,-1.93,0.352,194,405,109,30,"5",NA,NA,99
"203","Cam Taylor-Britt","DB","CIN",5.78,0.374,0.0622,5.42,6.06,-0.528,-0.19,-1.69,195,159,300,22,"2",NA,NA,3
"204","Nick Folk","K","TEN",8.09,1.14,0.0373,6.58,9.39,-0.529,-0.941,-0.35,196,253,158,20,"2",NA,NA,80
"205","Cowboys","DST","DAL",5.03,0.888,0.0821,4.12,6.33,-0.533,-0.69,-0.702,197,214,193,10,"7",NA,NA,84
"206","Xavier Worthy","WR","KC",9.75,0.997,0.406,8.22,10.9,-0.556,-0.387,-1.12,198,171,249,41,"10",NA,NA,31
"207","Chad Ryland","K","ARI",8.06,1.13,0.378,6.55,9.32,-0.566,-0.977,-0.426,199,257,164,21,"3",NA,NA,72
"208","Trevon Moehrig","DB","LVR",5.72,0.842,0.0273,4.94,6.49,-0.591,-0.676,-1.26,200,208,260,23,"2",NA,NA,24
"209","Quinnen Williams","DL","NYJ",2.49,0.881,0.0414,1.96,3.52,-0.604,-0.642,-0.607,201,204,183,31,"5",NA,NA,52
"210","Buccaneers","DST","TB",4.95,0.79,0.0144,4.02,6.04,-0.615,-0.783,-0.993,202,226,229,11,"8",NA,NA,64
"211","Alontae Taylor","DB","NO",5.69,0.676,0.0623,5.21,6.48,-0.618,-0.401,-1.27,203,175,262,24,"2",NA,NA,15
"212","Kyle Pitts","TE","ATL",7.9,0.741,0.0406,6.68,8.85,-0.621,-0.118,-1.04,204,148,237,15,"8",NA,NA,32
"213","Bills","DST","BUF",4.93,0.537,0.131,4.09,5.44,-0.629,-0.72,-1.59,205,219,291,12,"9",NA,NA,36
"214","Zack Baun","LB","PHI",6.12,1.85,0.0226,4.73,8.25,-0.644,-0.372,-0.978,206,170,226,18,"1",NA,NA,41
"215",NA,"DL",NA,2.45,1.1,0.00734,1.79,3.3,-0.646,-0.813,-0.833,207,233,210,32,"5",NA,NA,69
"216","Vita Vea","DL","TB",2.44,1.22,0.00124,1.52,3.85,-0.653,-1.08,-0.282,208,282,152,33,"5",NA,NA,81
"217","Kayvon Thibodeaux","DL","NYG",2.44,0.575,0.00704,2.03,3.1,-0.654,-0.58,-1.03,209,192,235,34,"5",NA,NA,34
"218","Trey Hendrickson","DL","CIN",2.43,0.504,0.00173,2.08,3.01,-0.661,-0.531,-1.12,210,188,248,35,"5",NA,NA,28
"219","Dawson Knox","TE","BUF",7.86,1.04,0.337,6.37,9.23,-0.662,-0.425,-0.659,211,179,188,16,"8",NA,NA,50
"220","Harrison Phillips","DL","MIN",2.43,1.17,0.00136,1.52,3.77,-0.663,-1.08,-0.358,212,281,161,36,"5",NA,NA,74
"221","D.J. Wonnum","DL","CAR",2.43,0.283,0.01,2.21,2.6,-0.664,-0.398,-1.53,213,173,285,37,"6",NA,NA,10
"222","Nick Bolton","LB","KC",6.1,1.83,0.0154,5.11,8.25,-0.666,0,-0.981,214,130,227,19,"1",NA,NA,39
"223","Javon Kinlaw","DL","NYJ",2.42,1.01,0.00845,1.81,3.6,-0.674,-0.799,-0.526,215,228,174,38,"6",NA,NA,66
"224","Amani Hooker","DB","TEN",5.63,1.04,0.0103,5.01,6.85,-0.68,-0.604,-0.898,216,201,218,25,"2",NA,NA,41
"225","Quincy Williams","LB","NYJ",6.08,2.02,0.00769,4.82,8.46,-0.682,-0.288,-0.769,217,166,202,20,"1",NA,NA,46
"226","Ogbonnia Okoronkwo","DL","CLE",2.41,0.753,0.0157,1.75,3.18,-0.683,-0.856,-0.949,218,237,222,39,"6",NA,NA,48
"227","Kyzir White","LB","ARI",6.07,2.59,0.0153,3.78,8.92,-0.689,-1.33,-0.31,219,317,155,21,"1",NA,NA,87
"228","Harrison Smith","DB","MIN",5.62,1.01,0.0802,4.94,6.8,-0.691,-0.668,-0.95,220,207,223,26,"2",NA,NA,37
"229","George Karlaftis","DL","KC",2.39,0.923,0.00277,1.62,3.43,-0.699,-0.983,-0.7,221,261,192,40,"6",NA,NA,53
"230","Joey Bosa","DL","LAC",2.39,0.636,0.0139,2.01,2.88,-0.701,-0.598,-1.25,222,197,259,41,"6",NA,NA,41
